University_name,Region,Founded_year,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude,Website
University of Cambridge,East of England,1209,"From here, light and sacred draughts",1,4,94.1,6.5,21750,23187,20.20%,85.50%,"20,000-24,999","over-5,000",Public,Trimesters,Urban,12000,52.2054,0.1132,www.cam.ac.uk
University of Oxford,South East England,1096,The Lord is my light,2,2,93.3,6.5,21770,19888,16.80%,86.50%,"25,000-29,999","over-5,000",Public,Trimesters,Urban,11500,51.7548,-1.2544,www.ox.ac.uk
University of St Andrews,Scotland,1413,Ever to excel,3,86,75.8,6.5,17040,15440,40.40%,87.90%,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,12000,56.3417,-2.7943,www.st-andrews.ac.uk
Imperial College London,London,1907,Knowledge is the adornment and safeguard of the Empire,4,8,86.6,6.5,23500,29900,41.40%,77.90%,"15,000-19,999","4,000-4,499",Public,Continuous,Urban,10700,51.4988,-0.1749,www.ic.ac.uk
Loughborough University,East Midlands,1966,"With Truth, Knowledge and Labour",5,404,72.8,5.5,16400,16400,22.00%,85.80%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,9398,52.765,-1.2321,www.lboro.ac.uk/
London School of Economics and Political Science,London,1895,To know the causes of things,6,23,76.3,6.5,17040,24500,46.80%,68.50%,"10,000-14,999","1,500-1,999",Public,Semesters,Urban,12000,51.5144,-0.1165,www.lse.ac.uk
Durham University,North East England,1832,Her foundations are upon the holy hills,7,70,76.3,5.5,14900,18000,17.20%,75.00%,"15,000-19,999","1,500-1,999",Public,Trimesters,Urban,8000,54.765,-1.5782,www.dur.ac.uk
Lancaster University,North West England,1964,Truth lies open to all,8,130,76.1,5.5,14940,14200,29.60%,79.30%,"10,000-14,999","2,000-2,499",Public,Trimesters,Rural,8500,54.0104,-2.7877,www.lancs.ac.uk
University College London,London,1826,Let all come who by merit most deserve reward,9,14,88,6.5,15660,17250,36.10%,75.40%,"40,000-44,999","over-5,000",Public,Other,Urban,11500,51.5246,-0.134,www.ucl.ac.uk
University of Warwick,West Midlands,1965,Mind Moves matter,10,80,79.3,5.5,15820,24500,28.30%,79.20%,"25,000-29,999","2,500-2,999",Public,Trimesters,Suburban,9580,52.3793,-1.5615,www.warwick.ac.uk
University of Bath,South West England,1966,Learn each field of study according to its kind,11,261,74.8,5.5,14300,15000,21.70%,81.80%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,11000,51.3782,-2.3264,www.bath.ac.uk
University of Exeter,South West England,1955,We follow the light,12,93,77.4,5.5,15500,15500,21.20%,80.10%,"25,000-29,999","2,500-2,999",Public,Semesters,Suburban,8400,50.7371,-3.5351,www.exeter.ac.uk
University of Leeds,Yorkshire and the Humber,1904,And Knowledge Will Be Increased,13,133,81.6,5.5,13500,14000,11.80%,80.40%,"35,000-39,999","3,500-3,999",Public,Semesters,Urban,7000,53.8067,-1.555,www.leeds.ac.uk
University of Birmingham,West Midlands,1900,"Through hard work, great heights are achieved",14,119,82.6,5.5,13860,14850,12.70%,77.90%,"35,000-39,999","4,000-4,499",Public,Continuous,Urban,9000,52.4508,-1.9305,www.bham.ac.uk
